StagingRef,Discount Type Name (Lookup to discount type),Service Item Type staging ref
DT001-SI0001,DT001,SI0001
DT001-SI0010,DT001,SI0010
DT001-SI0011,DT001,SI0011
DT001-SI0002,DT001,SI0002
DT001-SI0003,DT001,SI0003
DT001-SI0004,DT001,SI0004
DT001-SI0005,DT001,SI0005
DT001-SI0006,DT001,SI0006
DT001-SI0007,DT001,SI0007
DT001-SI0008,DT001,SI0008
DT001-SI0009,DT001,SI0009
DT001-SI0014,DT001,SI0014
DT001-SI0016,DT001,SI0016
DT001-SI0017,DT001,SI0017
DT001-SI0018,DT001,SI0018
DT001-SI0019,DT001,SI0019
DT001-SI0020,DT001,SI0020
DT001-SI0021,DT001,SI0021
DT001-SI0022,DT001,SI0022
DT001-SI0023,DT001,SI0023
DT002-SI0001,DT002,SI0001
DT002-SI0010,DT002,SI0010
DT002-SI0011,DT002,SI0011
DT002-SI0002,DT002,SI0002
DT002-SI0003,DT002,SI0003
DT002-SI0004,DT002,SI0004
DT002-SI0005,DT002,SI0005
DT002-SI0006,DT002,SI0006
DT002-SI0007,DT002,SI0007
DT002-SI0008,DT002,SI0008
DT002-SI0009,DT002,SI0009
DT002-SI0014,DT002,SI0014
DT002-SI0016,DT002,SI0016
DT002-SI0017,DT002,SI0017
DT002-SI0018,DT002,SI0018
DT002-SI0019,DT002,SI0019
DT002-SI0020,DT002,SI0020
DT002-SI0021,DT002,SI0021
DT002-SI0022,DT002,SI0022
DT002-SI0023,DT002,SI0023
DT003-SI0001,DT003,SI0001
DT003-SI0010,DT003,SI0010
DT003-SI0011,DT003,SI0011
DT003-SI0002,DT003,SI0002
DT003-SI0003,DT003,SI0003
DT003-SI0004,DT003,SI0004
DT003-SI0005,DT003,SI0005
DT003-SI0006,DT003,SI0006
DT003-SI0007,DT003,SI0007
DT003-SI0008,DT003,SI0008
DT003-SI0009,DT003,SI0009
DT003-SI0014,DT003,SI0014
DT003-SI0016,DT003,SI0016
DT003-SI0017,DT003,SI0017
DT003-SI0018,DT003,SI0018
DT003-SI0019,DT003,SI0019
DT003-SI0020,DT003,SI0020
DT003-SI0021,DT003,SI0021
DT003-SI0022,DT003,SI0022
DT003-SI0023,DT003,SI0023
DT004-SI0001,DT004,SI0001
DT004-SI0010,DT004,SI0010
DT004-SI0011,DT004,SI0011
DT004-SI0002,DT004,SI0002
DT004-SI0003,DT004,SI0003
DT004-SI0004,DT004,SI0004
DT004-SI0005,DT004,SI0005
DT004-SI0006,DT004,SI0006
DT004-SI0007,DT004,SI0007
DT004-SI0008,DT004,SI0008
DT004-SI0009,DT004,SI0009
DT004-SI0014,DT004,SI0014
DT004-SI0016,DT004,SI0016
DT004-SI0017,DT004,SI0017
DT004-SI0018,DT004,SI0018
DT004-SI0019,DT004,SI0019
DT004-SI0020,DT004,SI0020
DT004-SI0021,DT004,SI0021
DT004-SI0022,DT004,SI0022
DT004-SI0023,DT004,SI0023
DT005-SI0001,DT005,SI0001
DT005-SI0010,DT005,SI0010
DT005-SI0011,DT005,SI0011
DT005-SI0002,DT005,SI0002
DT005-SI0003,DT005,SI0003
DT005-SI0004,DT005,SI0004
DT005-SI0005,DT005,SI0005
DT005-SI0006,DT005,SI0006
DT005-SI0007,DT005,SI0007
DT005-SI0008,DT005,SI0008
DT005-SI0009,DT005,SI0009
DT005-SI0014,DT005,SI0014
DT005-SI0016,DT005,SI0016
DT005-SI0017,DT005,SI0017
DT005-SI0018,DT005,SI0018
DT005-SI0019,DT005,SI0019
DT005-SI0020,DT005,SI0020
DT005-SI0021,DT005,SI0021
DT005-SI0022,DT005,SI0022
DT005-SI0023,DT005,SI0023
DT006-SI0054,DT006,SI0054
DT006-SI0055,DT006,SI0055
DT006-SI0048,DT006,SI0048
DT006-SI0049,DT006,SI0049
DT006-SI0050,DT006,SI0050
DT006-SI0051,DT006,SI0051
DT006-SI0052,DT006,SI0052
DT006-SI0053,DT006,SI0053
DT006-SI0062,DT006,SI0062
DT006-SI0063,DT006,SI0063
DT006-SI0056,DT006,SI0056
DT006-SI0057,DT006,SI0057
DT006-SI0058,DT006,SI0058
DT006-SI0059,DT006,SI0059
DT006-SI0060,DT006,SI0060
DT006-SI0061,DT006,SI0061
DT006-SI0070,DT006,SI0070
DT006-SI0071,DT006,SI0071
DT006-SI0064,DT006,SI0064
DT006-SI0065,DT006,SI0065
DT006-SI0066,DT006,SI0066
DT006-SI0067,DT006,SI0067
DT006-SI0068,DT006,SI0068
DT006-SI0069,DT006,SI0069
DT006-SI0078,DT006,SI0078
DT006-SI0079,DT006,SI0079
DT006-SI0072,DT006,SI0072
DT006-SI0073,DT006,SI0073
DT006-SI0074,DT006,SI0074
DT006-SI0075,DT006,SI0075
DT006-SI0076,DT006,SI0076
DT006-SI0077,DT006,SI0077
DT006-SI0099,DT006,SI0099
DT006-SI0100,DT006,SI0100
DT006-SI0086,DT006,SI0086
DT006-SI0087,DT006,SI0087
DT006-SI0080,DT006,SI0080
DT006-SI0081,DT006,SI0081
DT006-SI0082,DT006,SI0082
DT006-SI0083,DT006,SI0083
DT006-SI0084,DT006,SI0084
DT006-SI0085,DT006,SI0085
DT006-SI0094,DT006,SI0094
DT006-SI0095,DT006,SI0095
DT006-SI0088,DT006,SI0088
DT006-SI0089,DT006,SI0089
DT006-SI0090,DT006,SI0090
DT006-SI0091,DT006,SI0091
DT006-SI0092,DT006,SI0092
DT006-SI0093,DT006,SI0093
DT006-SI0105,DT006,SI0105
DT006-SI0106,DT006,SI0106
DT006-SI0107,DT006,SI0107
DT006-SI0108,DT006,SI0108
DT006-SI0109,DT006,SI0109
DT006-SI0110,DT006,SI0110
DT006-SI0111,DT006,SI0111
DT006-SI0112,DT006,SI0112
DT006-SI0113,DT006,SI0113
DT006-SI0114,DT006,SI0114
DT006-SI0115,DT006,SI0115
DT006-SI0116,DT006,SI0116
DT006-SI0117,DT006,SI0117
DT006-SI0124,DT006,SI0124
DT006-SI0125,DT006,SI0125
DT006-SI0126,DT006,SI0126
DT006-SI0127,DT006,SI0127
DT006-SI0128,DT006,SI0128
DT006-SI0129,DT006,SI0129
DT006-SI0118,DT006,SI0118
DT006-SI0119,DT006,SI0119
DT006-SI0120,DT006,SI0120
DT006-SI0121,DT006,SI0121
DT006-SI0122,DT006,SI0122
DT006-SI0123,DT006,SI0123
DT006-SI0130,DT006,SI0130
DT006-SI0131,DT006,SI0131
DT006-SI0132,DT006,SI0132
DT007-SI0054,DT007,SI0054
DT007-SI0055,DT007,SI0055
DT007-SI0048,DT007,SI0048
DT007-SI0049,DT007,SI0049
DT007-SI0050,DT007,SI0050
DT007-SI0051,DT007,SI0051
DT007-SI0052,DT007,SI0052
DT007-SI0053,DT007,SI0053
DT007-SI0062,DT007,SI0062
DT007-SI0063,DT007,SI0063
DT007-SI0056,DT007,SI0056
DT007-SI0057,DT007,SI0057
DT007-SI0058,DT007,SI0058
DT007-SI0059,DT007,SI0059
DT007-SI0060,DT007,SI0060
DT007-SI0061,DT007,SI0061
DT007-SI0070,DT007,SI0070
DT007-SI0071,DT007,SI0071
DT007-SI0064,DT007,SI0064
DT007-SI0065,DT007,SI0065
DT007-SI0066,DT007,SI0066
DT007-SI0067,DT007,SI0067
DT007-SI0068,DT007,SI0068
DT007-SI0069,DT007,SI0069
DT007-SI0078,DT007,SI0078
DT007-SI0079,DT007,SI0079
DT007-SI0072,DT007,SI0072
DT007-SI0073,DT007,SI0073
DT007-SI0074,DT007,SI0074
DT007-SI0075,DT007,SI0075
DT007-SI0076,DT007,SI0076
DT007-SI0077,DT007,SI0077
DT007-SI0099,DT007,SI0099
DT007-SI0100,DT007,SI0100
DT007-SI0086,DT007,SI0086
DT007-SI0087,DT007,SI0087
DT007-SI0080,DT007,SI0080
DT007-SI0081,DT007,SI0081
DT007-SI0082,DT007,SI0082
DT007-SI0083,DT007,SI0083
DT007-SI0084,DT007,SI0084
DT007-SI0085,DT007,SI0085
DT007-SI0094,DT007,SI0094
DT007-SI0095,DT007,SI0095
DT007-SI0088,DT007,SI0088
DT007-SI0089,DT007,SI0089
DT007-SI0090,DT007,SI0090
DT007-SI0091,DT007,SI0091
DT007-SI0092,DT007,SI0092
DT007-SI0093,DT007,SI0093
DT007-SI0105,DT007,SI0105
DT007-SI0106,DT007,SI0106
DT007-SI0107,DT007,SI0107
DT007-SI0108,DT007,SI0108
DT007-SI0109,DT007,SI0109
DT007-SI0110,DT007,SI0110
DT007-SI0111,DT007,SI0111
DT007-SI0112,DT007,SI0112
DT007-SI0113,DT007,SI0113
DT007-SI0114,DT007,SI0114
DT007-SI0115,DT007,SI0115
DT007-SI0116,DT007,SI0116
DT007-SI0117,DT007,SI0117
DT007-SI0124,DT007,SI0124
DT007-SI0125,DT007,SI0125
DT007-SI0126,DT007,SI0126
DT007-SI0127,DT007,SI0127
DT007-SI0128,DT007,SI0128
DT007-SI0129,DT007,SI0129
DT007-SI0118,DT007,SI0118
DT007-SI0119,DT007,SI0119
DT007-SI0120,DT007,SI0120
DT007-SI0121,DT007,SI0121
DT007-SI0122,DT007,SI0122
DT007-SI0123,DT007,SI0123
DT007-SI0130,DT007,SI0130
DT007-SI0131,DT007,SI0131
DT007-SI0132,DT007,SI0132
DT008-SI0054,DT008,SI0054
DT008-SI0055,DT008,SI0055
DT008-SI0048,DT008,SI0048
DT008-SI0049,DT008,SI0049
DT008-SI0050,DT008,SI0050
DT008-SI0051,DT008,SI0051
DT008-SI0052,DT008,SI0052
DT008-SI0053,DT008,SI0053
DT008-SI0062,DT008,SI0062
DT008-SI0063,DT008,SI0063
DT008-SI0056,DT008,SI0056
DT008-SI0057,DT008,SI0057
DT008-SI0058,DT008,SI0058
DT008-SI0059,DT008,SI0059
DT008-SI0060,DT008,SI0060
DT008-SI0061,DT008,SI0061
DT008-SI0070,DT008,SI0070
DT008-SI0071,DT008,SI0071
DT008-SI0064,DT008,SI0064
DT008-SI0065,DT008,SI0065
DT008-SI0066,DT008,SI0066
DT008-SI0067,DT008,SI0067
DT008-SI0068,DT008,SI0068
DT008-SI0069,DT008,SI0069
DT008-SI0078,DT008,SI0078
DT008-SI0079,DT008,SI0079
DT008-SI0072,DT008,SI0072
DT008-SI0073,DT008,SI0073
DT008-SI0074,DT008,SI0074
DT008-SI0075,DT008,SI0075
DT008-SI0076,DT008,SI0076
DT008-SI0077,DT008,SI0077
DT008-SI0099,DT008,SI0099
DT008-SI0100,DT008,SI0100
DT008-SI0086,DT008,SI0086
DT008-SI0087,DT008,SI0087
DT008-SI0080,DT008,SI0080
DT008-SI0081,DT008,SI0081
DT008-SI0082,DT008,SI0082
DT008-SI0083,DT008,SI0083
DT008-SI0084,DT008,SI0084
DT008-SI0085,DT008,SI0085
DT008-SI0094,DT008,SI0094
DT008-SI0095,DT008,SI0095
DT008-SI0088,DT008,SI0088
DT008-SI0089,DT008,SI0089
DT008-SI0090,DT008,SI0090
DT008-SI0091,DT008,SI0091
DT008-SI0092,DT008,SI0092
DT008-SI0093,DT008,SI0093
DT008-SI0105,DT008,SI0105
DT008-SI0106,DT008,SI0106
DT008-SI0107,DT008,SI0107
DT008-SI0108,DT008,SI0108
DT008-SI0109,DT008,SI0109
DT008-SI0110,DT008,SI0110
DT008-SI0111,DT008,SI0111
DT008-SI0112,DT008,SI0112
DT008-SI0113,DT008,SI0113
DT008-SI0114,DT008,SI0114
DT008-SI0115,DT008,SI0115
DT008-SI0116,DT008,SI0116
DT008-SI0117,DT008,SI0117
DT008-SI0124,DT008,SI0124
DT008-SI0125,DT008,SI0125
DT008-SI0126,DT008,SI0126
DT008-SI0127,DT008,SI0127
DT008-SI0128,DT008,SI0128
DT008-SI0129,DT008,SI0129
DT008-SI0118,DT008,SI0118
DT008-SI0119,DT008,SI0119
DT008-SI0120,DT008,SI0120
DT008-SI0121,DT008,SI0121
DT008-SI0122,DT008,SI0122
DT008-SI0123,DT008,SI0123
DT008-SI0130,DT008,SI0130
DT008-SI0131,DT008,SI0131
DT008-SI0132,DT008,SI0132
DT009-SI0054,DT009,SI0054
DT009-SI0055,DT009,SI0055
DT009-SI0048,DT009,SI0048
DT009-SI0049,DT009,SI0049
DT009-SI0050,DT009,SI0050
DT009-SI0051,DT009,SI0051
DT009-SI0052,DT009,SI0052
DT009-SI0053,DT009,SI0053
DT009-SI0062,DT009,SI0062
DT009-SI0063,DT009,SI0063
DT009-SI0056,DT009,SI0056
DT009-SI0057,DT009,SI0057
DT009-SI0058,DT009,SI0058
DT009-SI0059,DT009,SI0059
DT009-SI0060,DT009,SI0060
DT009-SI0061,DT009,SI0061
DT009-SI0070,DT009,SI0070
DT009-SI0071,DT009,SI0071
DT009-SI0064,DT009,SI0064
DT009-SI0065,DT009,SI0065
DT009-SI0066,DT009,SI0066
DT009-SI0067,DT009,SI0067
DT009-SI0068,DT009,SI0068
DT009-SI0069,DT009,SI0069
DT009-SI0078,DT009,SI0078
DT009-SI0079,DT009,SI0079
DT009-SI0072,DT009,SI0072
DT009-SI0073,DT009,SI0073
DT009-SI0074,DT009,SI0074
DT009-SI0075,DT009,SI0075
DT009-SI0076,DT009,SI0076
DT009-SI0077,DT009,SI0077
DT009-SI0099,DT009,SI0099
DT009-SI0100,DT009,SI0100
DT009-SI0086,DT009,SI0086
DT009-SI0087,DT009,SI0087
DT009-SI0080,DT009,SI0080
DT009-SI0081,DT009,SI0081
DT009-SI0082,DT009,SI0082
DT009-SI0083,DT009,SI0083
DT009-SI0084,DT009,SI0084
DT009-SI0085,DT009,SI0085
DT009-SI0094,DT009,SI0094
DT009-SI0095,DT009,SI0095
DT009-SI0088,DT009,SI0088
DT009-SI0089,DT009,SI0089
DT009-SI0090,DT009,SI0090
DT009-SI0091,DT009,SI0091
DT009-SI0092,DT009,SI0092
DT009-SI0093,DT009,SI0093
DT009-SI0105,DT009,SI0105
DT009-SI0106,DT009,SI0106
DT009-SI0107,DT009,SI0107
DT009-SI0108,DT009,SI0108
DT009-SI0109,DT009,SI0109
DT009-SI0110,DT009,SI0110
DT009-SI0111,DT009,SI0111
DT009-SI0112,DT009,SI0112
DT009-SI0113,DT009,SI0113
DT009-SI0114,DT009,SI0114
DT009-SI0115,DT009,SI0115
DT009-SI0116,DT009,SI0116
DT009-SI0117,DT009,SI0117
DT009-SI0124,DT009,SI0124
DT009-SI0125,DT009,SI0125
DT009-SI0126,DT009,SI0126
DT009-SI0127,DT009,SI0127
DT009-SI0128,DT009,SI0128
DT009-SI0129,DT009,SI0129
DT009-SI0118,DT009,SI0118
DT009-SI0119,DT009,SI0119
DT009-SI0120,DT009,SI0120
DT009-SI0121,DT009,SI0121
DT009-SI0122,DT009,SI0122
DT009-SI0123,DT009,SI0123
DT009-SI0130,DT009,SI0130
DT009-SI0131,DT009,SI0131
DT009-SI0132,DT009,SI0132
DT010-SI0054,DT010,SI0054
DT010-SI0055,DT010,SI0055
DT010-SI0048,DT010,SI0048
DT010-SI0049,DT010,SI0049
DT010-SI0050,DT010,SI0050
DT010-SI0051,DT010,SI0051
DT010-SI0052,DT010,SI0052
DT010-SI0053,DT010,SI0053
DT010-SI0062,DT010,SI0062
DT010-SI0063,DT010,SI0063
DT010-SI0056,DT010,SI0056
DT010-SI0057,DT010,SI0057
DT010-SI0058,DT010,SI0058
DT010-SI0059,DT010,SI0059
DT010-SI0060,DT010,SI0060
DT010-SI0061,DT010,SI0061
DT010-SI0070,DT010,SI0070
DT010-SI0071,DT010,SI0071
DT010-SI0064,DT010,SI0064
DT010-SI0065,DT010,SI0065
DT010-SI0066,DT010,SI0066
DT010-SI0067,DT010,SI0067
DT010-SI0068,DT010,SI0068
DT010-SI0069,DT010,SI0069
DT010-SI0078,DT010,SI0078
DT010-SI0079,DT010,SI0079
DT010-SI0072,DT010,SI0072
DT010-SI0073,DT010,SI0073
DT010-SI0074,DT010,SI0074
DT010-SI0075,DT010,SI0075
DT010-SI0076,DT010,SI0076
DT010-SI0077,DT010,SI0077
DT010-SI0099,DT010,SI0099
DT010-SI0100,DT010,SI0100
DT010-SI0086,DT010,SI0086
DT010-SI0087,DT010,SI0087
DT010-SI0080,DT010,SI0080
DT010-SI0081,DT010,SI0081
DT010-SI0082,DT010,SI0082
